sample,component,rh,mc,constant,compliance,stiffness
1_sLT-012-153-247,exy,65,13.184797381940328,G_LT,0.0006755200466519341,1480.340968349169
1_sLT-012-153-247_symm,exy,65,13.184797381940328,G_avgTL,0.0006755200466519341,1480.340968349169
1_sLT-012-153-395,exy,65,11.672626380727799,G_LT,0.0006520040624690815,1533.7327749356173
1_sLT-012-153-395_symm,exy,65,11.672626380727799,G_avgTL,0.0006520040624690815,1533.7327749356173
1_sLT-012-153-469,exy,35,7.992733684203689,G_LT,0.0006110513509097889,1636.5236710648114
1_sLT-012-153-469_symm,exy,35,7.992733684203689,G_avgTL,0.0006110513509097889,1636.5236710648114
1_sLT-012-153-543,exy,90,19.3727152253204,G_LT,0.0008373960625942312,1194.1780534554055
1_sLT-012-153-543_symm,exy,90,19.3727152253204,G_avgTL,0.0008373960625942312,1194.1780534554055
1_sLT-012-153-765,exy,65,11.672626380727799,G_LT,0.0006520040624690815,1533.7327749356173
1_sLT-012-153-765_symm,exy,65,11.672626380727799,G_avgTL,0.0006520040624690815,1533.7327749356173
1_sLT-012-153-839,exy,90,19.512817518195284,G_LT,0.0008428578670835375,1186.439658515862
1_sLT-012-153-839_symm,exy,90,19.512817518195284,G_avgTL,0.0008428578670835375,1186.439658515862
1_sLT-012-153-913,exy,65,12.982527190849636,G_LT,0.000672106661913273,1487.8590805115953
1_sLT-012-153-913_symm,exy,65,12.982527190849636,G_avgTL,0.000672106661913273,1487.8590805115953
1_sRL-033-120-046,exy,90,20.221325876563263,G_RL,0.0009645801707799002,1036.720461702485
1_sRL-033-120-046_symm,exy,90,20.221325876563263,G_avgRL,0.0009645801707799002,1036.720461702485
1_sRL-037-121-048,exy,35,7.879396358396934,G_RL,0.0007248512271622061,1379.5934428020516
1_sRL-037-121-048_symm,exy,35,7.879396358396934,G_avgRL,0.0007248512271622061,1379.5934428020516
1_sRL-037-121-086,exy,35,7.9805963919235365,G_RL,0.0007256858954644504,1378.0066641091105
1_sRL-037-121-086_symm,exy,35,7.9805963919235365,G_avgRL,0.0007256858954644504,1378.0066641091105
1_sRL-037-121-124,exy,35,7.951772997597718,G_RL,0.000725446887422857,1378.4606665726974
1_sRL-037-121-124_symm,exy,35,7.951772997597718,G_avgRL,0.000725446887422857,1378.4606665726974
1_sRL-037-121-162,exy,35,7.992733684203689,G_RL,0.0007257868458009088,1377.8149959393324
1_sRL-037-121-162_symm,exy,35,7.992733684203689,G_avgRL,0.0007257868458009088,1377.8149959393324
1_sRL-037-121-200,exy,65,13.184797381940328,G_RL,0.0007879535382453531,1269.1103617947329
1_sRL-037-121-200_symm,exy,65,13.184797381940328,G_avgRL,0.0007879535382453531,1269.1103617947329
1_sRL-037-121-238,exy,65,11.672626380727799,G_RL,0.0007655376022234111,1306.2715627496564
1_sRL-037-121-238_symm,exy,65,11.672626380727799,G_avgRL,0.0007655376022234111,1306.2715627496564
1_sRL-037-121-276,exy,65,11.993110491986398,G_RL,0.0007699572984612706,1298.773324181043
1_sRL-037-121-276_symm,exy,65,11.993110491986398,G_avgRL,0.0007699572984612706,1298.773324181043
1_sRL-037-121-390,exy,90,19.3727152253204,G_RL,0.0009346333561967773,1069.9382740513495
1_sRL-037-121-390_symm,exy,90,19.3727152253204,G_avgRL,0.0009346333561967773,1069.9382740513495
1_sRL-037-121-428,exy,90,19.512817518195284,G_RL,0.0009393620402581091,1064.5522781878958
1_sRL-037-121-428_symm,exy,90,19.512817518195284,G_avgRL,0.0009393620402581091,1064.5522781878958
1_sRL-037-121-542,exy,65,12.982527190849636,G_RL,0.0007847180622315123,1274.3430387676917
1_sRL-037-121-542_symm,exy,65,12.982527190849636,G_avgRL,0.0007847180622315123,1274.3430387676917
1_sRL-037-121-580,exy,35,7.941269007304386,G_RL,0.000725360040724792,1378.6257084147937
1_sRL-037-121-580_symm,exy,35,7.941269007304386,G_avgRL,0.000725360040724792,1378.6257084147937
1_sRL-037-121-618,exy,35,8.051037014695876,G_RL,0.0007262743095277198,1376.8902285009613
1_sRL-037-121-618_symm,exy,35,8.051037014695876,G_avgRL,0.0007262743095277198,1376.8902285009613
1_sRL-037-121-656,exy,90,19.91783138662233,G_RL,0.0009535034204920295,1048.763935722409
1_sRL-037-121-656_symm,exy,90,19.91783138662233,G_avgRL,0.0009535034204920295,1048.763935722409
1_sRL-037-121-808,exy,35,8.152330335303674,G_RL,0.000727131213736957,1375.267601098685
1_sRL-037-121-808_symm,exy,35,8.152330335303674,G_avgRL,0.000727131213736957,1375.267601098685
1_sRT-271-111-530,exy,65,11.672626380727799,G_RT,0.018191520592712243,54.97066586069847
1_sRT-271-111-530_symm,exy,65,11.672626380727799,G_avgRT,0.018191520592712243,54.97066586069847
1_sRT-271-111-537,exy,65,11.993110491986398,G_RT,0.018235051935133445,54.8394379987096
1_sRT-271-111-537_symm,exy,65,11.993110491986398,G_avgRT,0.018235051935133445,54.8394379987096
1_sRT-271-111-544,exy,65,13.184797381940328,G_RT,0.01840932334738463,54.320301791106715
1_sRT-271-111-544_symm,exy,65,13.184797381940328,G_avgRT,0.01840932334738463,54.320301791106715
1_sRT-271-111-552,exy,35,7.992733684203689,G_RT,0.017786391504981222,56.222758827721854
1_sRT-271-111-552_symm,exy,35,7.992733684203689,G_avgRT,0.017786391504981222,56.222758827721854
1_sRT-271-111-559,exy,35,7.951772997597718,G_RT,0.017782817408680263,56.23405881184348
1_sRT-271-111-559_symm,exy,35,7.951772997597718,G_avgRT,0.017782817408680263,56.23405881184348
1_sRT-271-111-566,exy,35,7.9805963919235365,G_RT,0.0177853303799007,56.22611324274895
1_sRT-271-111-566_symm,exy,35,7.9805963919235365,G_avgRT,0.0177853303799007,56.22611324274895
1_sRT-271-111-573,exy,35,7.879396358396934,G_RT,0.017776550418931034,56.2538837082281
1_sRT-271-111-573_symm,exy,35,7.879396358396934,G_avgRT,0.017776550418931034,56.2538837082281
1_sRT-271-111-588,exy,90,19.3727152253204,G_RT,0.019671656639061494,50.83455950600145
1_sRT-271-111-588_symm,exy,90,19.3727152253204,G_avgRT,0.019671656639061494,50.83455950600145
1_sRT-271-111-595,exy,90,19.30919511933619,G_RT,0.019655219074536268,50.87707220193339
1_sRT-271-111-595_symm,exy,90,19.30919511933619,G_avgRT,0.019655219074536268,50.87707220193339
1_sRT-271-111-603,exy,90,19.512817518195284,G_RT,0.01970820103045501,50.74029833847867
1_sRT-271-111-603_symm,exy,90,19.512817518195284,G_avgRT,0.01970820103045501,50.74029833847867
1_sRT-271-111-610,exy,65,12.982527190849636,G_RT,0.01837833953735467,54.411879700419185
1_sRT-271-111-610_symm,exy,65,12.982527190849636,G_avgRT,0.01837833953735467,54.411879700419185
1_sRT-271-111-617,exy,35,7.941269007304386,G_RT,0.017781904053506402,56.236947235288376
1_sRT-271-111-617_symm,exy,35,7.941269007304386,G_avgRT,0.017781904053506402,56.236947235288376
1_sRT-271-111-625,exy,35,8.051037014695876,G_RT,0.01779151303897299,56.20657432616674
1_sRT-271-111-625_symm,exy,35,8.051037014695876,G_avgRT,0.01779151303897299,56.20657432616674
1_sRT-271-111-697,exy,90,20.221325876563263,G_RT,0.019899226612945454,50.25320930560434
1_sRT-271-111-697_symm,exy,90,20.221325876563263,G_avgRT,0.019899226612945454,50.25320930560434
1_sRT-271-111-727,exy,35,8.152330335303674,G_RT,0.017800506582694272,56.178176466741924
1_sRT-271-111-727_symm,exy,35,8.152330335303674,G_avgRT,0.017800506582694272,56.178176466741924
1_sTL-094-174-420,exy,90,20.221325876563263,G_TL,0.0007874767299758841,1269.878793790674
1_sTL-094-174-420_symm,exy,90,20.221325876563263,G_avgTL,0.0007874767299758841,1269.878793790674
1_sTL-095-182-003,exy,35,8.152330335303674,G_TL,0.000587307917594615,1702.6843501371673
1_sTL-095-182-003_symm,exy,35,8.152330335303674,G_avgTL,0.000587307917594615,1702.6843501371673
1_sTL-095-182-079,exy,35,7.992733684203689,G_TL,0.0005861867467522931,1705.9409915703422
1_sTL-095-182-079_symm,exy,35,7.992733684203689,G_avgTL,0.0005861867467522931,1705.9409915703422
1_sTL-095-182-193,exy,35,7.941269007304386,G_TL,0.0005858308297349256,1706.9774229063296
1_sTL-095-182-193_symm,exy,35,7.941269007304386,G_avgTL,0.0005858308297349256,1706.9774229063296
1_sTL-095-182-421,exy,90,19.3727152253204,G_TL,0.0007619946793301565,1312.3451214634017
1_sTL-095-182-421_symm,exy,90,19.3727152253204,G_avgTL,0.0007619946793301565,1312.3451214634017
1_sTL-095-182-459,exy,35,8.051037014695876,G_TL,0.000586593264279872,1704.7587500474363
1_sTL-095-182-459_symm,exy,35,8.051037014695876,G_avgTL,0.000586593264279872,1704.7587500474363
1_sTL-095-182-497,exy,65,12.982527190849636,G_TL,0.0006354611461993695,1573.6603346733336
1_sTL-095-182-497_symm,exy,65,12.982527190849636,G_avgTL,0.0006354611461993695,1573.6603346733336
1_sTL-095-182-535,exy,90,19.30919511933619,G_TL,0.0007601957962826434,1315.450578508851
1_sTL-095-182-535_symm,exy,90,19.30919511933619,G_avgTL,0.0007601957962826434,1315.450578508851
1_sTL-095-182-573,exy,90,19.512817518195284,G_TL,0.0007660137737792844,1305.459554684372
1_sTL-095-182-573_symm,exy,90,19.512817518195284,G_avgTL,0.0007660137737792844,1305.459554684372
1_sTL-095-182-725,exy,65,11.993110491986398,G_TL,0.0006230946897702262,1604.8925089840875
1_sTL-095-182-725_symm,exy,65,11.993110491986398,G_avgTL,0.0006230946897702262,1604.8925089840875
1_sTL-095-182-763,exy,65,11.993110491986398,G_TL,0.0006230946897702262,1604.8925089840875
1_sTL-095-182-763_symm,exy,65,11.993110491986398,G_avgTL,0.0006230946897702262,1604.8925089840875
1_sTL-095-182-801,exy,35,7.879396358396934,G_TL,0.0005854065428109388,1708.2145942515663
1_sTL-095-182-801_symm,exy,35,7.879396358396934,G_avgTL,0.0005854065428109388,1708.2145942515663
1_sTL-095-182-839,exy,35,7.9805963919235365,G_TL,0.0005861025620287835,1706.1860240612464
1_sTL-095-182-839_symm,exy,35,7.9805963919235365,G_avgTL,0.0005861025620287835,1706.1860240612464
1_sTR-271-129-354,exy,35,8.152330335303674,G_TR,0.019184075067658547,52.12656833718551
1_sTR-271-129-354_symm,exy,35,8.152330335303674,G_avgRT,0.019184075067658547,52.12656833718551
1_sTR-271-129-376,exy,35,7.941269007304386,G_TR,0.019159346726306127,52.19384639179696
1_sTR-271-129-376_symm,exy,35,7.941269007304386,G_avgRT,0.019159346726306127,52.19384639179696
1_sTR-271-129-405,exy,65,12.982527190849636,G_TR,0.019958249902778703,50.104593582665494
1_sTR-271-129-405_symm,exy,65,12.982527190849636,G_avgRT,0.019958249902778703,50.104593582665494
1_sTR-271-129-412,exy,90,19.512817518195284,G_TR,0.021785762745278627,45.90153724210176
1_sTR-271-129-412_symm,exy,90,19.512817518195284,G_avgRT,0.021785762745278627,45.90153724210176
1_sTR-271-129-419,exy,90,19.30919511933619,G_TR,0.021711703065449662,46.0581096280431
1_sTR-271-129-419_symm,exy,90,19.30919511933619,G_avgRT,0.021711703065449662,46.0581096280431
1_sTR-271-129-427,exy,90,19.3727152253204,G_TR,0.021734668655924574,46.00944306217494
1_sTR-271-129-427_symm,exy,90,19.3727152253204,G_avgRT,0.021734668655924574,46.00944306217494
1_sTR-271-129-449,exy,35,7.879396358396934,G_TR,0.019152232377945617,52.21323448182107
1_sTR-271-129-449_symm,exy,35,7.879396358396934,G_avgRT,0.019152232377945617,52.21323448182107
1_sTR-271-129-456,exy,35,7.9805963919235365,G_TR,0.01916390043442461,52.18144413877638
1_sTR-271-129-456_symm,exy,35,7.9805963919235365,G_avgRT,0.01916390043442461,52.18144413877638
1_sTR-271-129-463,exy,35,7.951772997597718,G_TR,0.019160560567366425,52.19053985837783
1_sTR-271-129-463_symm,exy,35,7.951772997597718,G_avgRT,0.019160560567366425,52.19053985837783
