component,x,data,fit,confidence,prediction
E_tTT,20320948.11929169,1.8969206327218984,1.8353607233660263,0.010336050499104557,0.11843608126044405
E_tTT,20585923.809941947,1.9461006314737594,1.8423231289325477,0.010403441538679444,0.11844198157857369
E_tTT,20952368.419651873,1.8124601667824205,1.8518740277243033,0.010495225209469253,0.11845007875306772
E_tTT,20967915.142982308,1.7753107802884365,1.8522772516320494,0.010499079798815624,0.11845042034974956
E_tTT,21248839.987050638,1.9884685445473806,1.859535785776698,0.010568137424500296,0.1184565613760318
E_tTT,21878581.64175905,1.8209097588040657,1.8756186386075648,0.010718507226293635,0.11847007133268121
E_tTT,22026619.32020182,1.8159248226629514,1.8793619007432874,0.01075289410715138,0.11847318741424187
E_tTT,22042963.141082384,1.7619950615777207,1.8797743015011124,0.010756666981708041,0.11847352990843918
E_tTT,22338291.30990544,2.018918914580769,1.887196690670259,0.01082401572133908,0.11847966374338788
E_tTT,22458120.88916523,1.9451604170109804,1.8901924113299686,0.010850886884048705,0.11848212164955896
E_tTT,22750964.316468827,1.9894643144310091,1.8974750448101059,0.010915415170573388,0.11848804873385523
E_tTT,23155948.2422059,1.8089129564226913,1.9074573541472457,0.011001908467544676,0.11849604801147882
E_tTT,23173130.02870198,1.7697221839447146,1.9078785905741853,0.011005505985742677,0.11849638208153311
E_tTT,23609573.369697955,1.9929456066897293,1.9185171421102298,0.011094878702184272,0.11850471609951499
E_tTT,23917431.200586002,2.0158392149593207,1.9259507007398238,0.011155557252963818,0.11851041246251158
E_tTT,24343179.096210193,1.8468375233485208,1.9361356191923775,0.011236187973766259,0.11851802953387419
E_tTT,24361241.811737716,1.7655961828104179,1.9365652965627707,0.01123952370673507,0.11851834582698463
E_tTT,24687629.91520949,2.028396555159268,1.9442956656070614,0.011298597177077428,0.11852396256698612
E_tTT,25419285.333722096,1.8584656602110337,1.9613944261056928,0.011422689447461595,0.11853585634154594
E_tTT,25953391.76788783,2.052130005318777,1.9736784860687888,0.011505973206131821,0.11854391095214754
E_tTT,26092613.876363486,2.008537648579093,1.9768534084331963,0.011526671000964448,0.11854592168765209
E_tTT,26432849.39796281,2.0695455529097897,1.9845657107593335,0.011575500350274767,0.11855067951205374
E_tTT,27284050.61850384,2.053691643671627,2.0035738423524743,0.011686864426977256,0.11856160510276931
E_tTT,27430410.79712092,2.042333921509641,2.0068014833130334,0.011704476866770942,0.11856334249309625
E_tTT,27788090.56693871,2.0933146003240646,2.0146396655183594,0.011745650059625126,0.11856741415639306
E_tTT,28092654.909096435,1.9069327486905467,2.021258780605233,0.011778640222526593,0.11857068680707802
E_tTT,28682933.807293486,2.0830858833381347,2.03394477824249,0.011837258104233882,0.1185765241683054
E_tTT,28836798.03273406,2.0807931033452403,2.0372209613937295,0.01185140342980371,0.11857793710326736
E_tTT,29212816.436501823,2.13459086524626,2.0451747330276437,0.011884036456519151,0.11858120309269232
E_tTT,30153539.27087437,2.081985585307335,2.064750600752021,0.011953977839570681,0.11858823293480435
E_tTT,30315292.28384622,2.112267271969823,2.0680707530669635,0.011964370402669896,0.11858928098079838
E_tTT,31047185.2170685,1.964392813745524,2.0829284756274014,0.012005646823156486,0.11859345243331453
E_tTT,31699544.288909618,2.099118972452359,2.0959469497316663,0.01203479945844579,0.11859640720702914
E_tTT,31869590.55619866,2.1276830610438116,2.099306112129574,0.012041262928150132,0.1185970632744138
E_tTT,32285155.160704136,2.207016257268828,2.1074563923933045,0.012055149552930211,0.11859847400010667
E_tTT,32639008.44253711,2.003461206712931,2.114330995377781,0.012064896003702877,0.11859946509150297
E_tTT,33324814.67922237,2.1044474119306757,2.1274859217977755,0.012078580318971426,0.11860085795192339
E_tTT,33940450.46246351,2.2290815661358607,2.1391081515100856,0.012085320390403349,0.11860154456561334
E_tTT,35033414.46435382,2.1321041922742365,2.1593162539517565,0.01208540014500954,0.11860155269251521
E_tTT,35221344.65368911,2.1813619260287256,2.162737105267462,0.012083987592026857,0.11860140876285882
E_tTT,35680614.56917017,2.235981852046253,2.1710317098105936,0.01207889407574227,0.11860088990603514
E_tTT,36071682.92551748,2.0900148454602765,2.1780221394931134,0.012072800015210263,0.11860026941207902
E_tTT,36829616.03373693,2.192806826145427,2.1913835718229535,0.012056708341577163,0.11859863245604614
E_tTT,37027181.60992159,2.2293012313100005,2.1948264406341673,0.01205164360819384,0.1185981176835003
E_tTT,37509998.79750176,2.241580668375779,2.2031716293872767,0.012037858130630774,0.11859671763073233
E_tTT,37921117.65723709,2.115576023136913,2.210201599351441,0.012024633642775706,0.11859537604246398
E_tTT,38717910.82689464,2.246341272220981,2.223630706810796,0.011995468362939804,0.11859242246305939
E_tTT,38925605.806776315,2.2563573126255267,2.2270893261301237,0.011987163731921527,0.11859158274829779
E_tTT,39433177.56091304,2.24173762360403,2.2354698121384633,0.0119657634028281,0.11858942152748247
E_tTT,39865374.93532787,2.185200441294285,2.2425263425350836,0.011946402131228677,0.11858746952478365
E_tTT,40703020.564378686,2.302521429966138,2.255998085499453,0.011906283522252635,0.1185834347272954
E_tTT,41454959.80805151,2.266118070832737,2.267865916263558,0.01186783759103411,0.11857958076118176
E_tTT,41909316.41570343,2.1693787510983604,2.274935600728769,0.011843709196960059,0.11857716834177068
E_tTT,42789909.05453027,2.335754643679361,2.288424193546672,0.011795480219491438,0.11857236085200834
