component,sample,constant,mc,rh,load_type,direction,label,outlier,mc_mean
E_RR,5_CR-159-121-635,798.7679638427114,0.2137492711370263,95.0,compression,TR,"$E_{c,RR}$",False,21.190907347224755
E_RR,5_CR-159-121-667,,0.2140953993790573,95.0,compression,TR,"$E_{c,RR}$",True,21.190907347224755
E_RR,5_CR-159-121-698,,0.2149186256781191,95.0,compression,TR,"$E_{c,RR}$",True,21.190907347224755
E_RR,5_CR-159-121-729,770.3331477830266,0.2152885393778188,95.0,compression,TR,"$E_{c,RR}$",False,21.190907347224755
E_RR,5_CR-159-121-823,629.4789506390061,0.2172901274070626,95.0,compression,TR,"$E_{c,RR}$",False,21.190907347224755
E_RR,5_CR-159-121-854,725.3066309680034,0.2145834539454641,95.0,compression,TR,"$E_{c,RR}$",False,21.190907347224755
E_RR,5_CR-159-121-886,621.1583495952693,0.2139593762587029,95.0,compression,TR,"$E_{c,RR}$",False,21.190907347224755
E_RR,5_CR-159-121-917,687.4989102741016,0.2139266894435116,95.0,compression,TR,"$E_{c,RR}$",False,21.190907347224755
E_RR,5_CR-159-121-948,,0.2131511776308155,95.0,compression,TR,"$E_{c,RR}$",True,21.190907347224755
E_RR,3_TR-197-136-010,,0.084780466440381,35.0,tension,TR,"$E_{t,RR}$",True,8.528434919480988
E_RR,3_TR-197-136-041,,0.0850493096646942,35.0,tension,TR,"$E_{t,RR}$",True,8.528434919480988
E_RR,3_TR-197-136-072,1435.281225548622,0.0808601907772196,35.0,tension,TR,"$E_{t,RR}$",False,8.528434919480988
E_RR,3_TR-197-136-104,,0.0849666176304175,35.0,tension,TR,"$E_{t,RR}$",True,8.528434919480988
E_RR,3_TR-197-136-135,1794.570481397834,0.0889468018809132,35.0,tension,TR,"$E_{t,RR}$",True,8.528434919480988
E_RR,3_TR-197-136-166,1342.041367566002,0.0842496201676889,35.0,tension,TR,"$E_{t,RR}$",False,8.528434919480988
E_RR,3_TR-197-136-198,1337.390836206155,0.0839009463364879,35.0,tension,TR,"$E_{t,RR}$",False,8.528434919480988
E_RR,3_TR-197-136-229,1404.019785449596,0.0839876916063593,35.0,tension,TR,"$E_{t,RR}$",False,8.528434919480988
E_RR,3_TR-197-136-260,1356.798805482349,0.0840563929164994,35.0,tension,TR,"$E_{t,RR}$",False,8.528434919480988
E_RR,3_TR-197-136-292,,0.0837685584921554,35.0,tension,TR,"$E_{t,RR}$",True,8.528434919480988
E_RR,3_TR-197-136-354,1256.37244147652,0.0846020081898243,35.0,tension,TR,"$E_{t,RR}$",False,8.528434919480988
E_RR,3_TR-197-136-386,1441.839435189251,0.0839784391306841,35.0,tension,TR,"$E_{t,RR}$",False,8.528434919480988
E_RR,3_TR-197-136-417,1354.974688819899,0.0833619702176403,35.0,tension,TR,"$E_{t,RR}$",False,8.528434919480988
E_RR,3_TR-197-136-448,1461.227764857038,0.0834734525757491,35.0,tension,TR,"$E_{t,RR}$",False,8.528434919480988
E_RR,3_TR-197-136-480,1211.937454238504,0.0841457186631105,35.0,tension,TR,"$E_{t,RR}$",False,8.528434919480988
E_RR,3_TR-197-136-511,1219.08611688263,0.0840438213089628,35.0,tension,TR,"$E_{t,RR}$",False,8.528434919480988
E_RR,3_TR-197-136-542,1360.522355838358,0.0837869822485206,35.0,tension,TR,"$E_{t,RR}$",False,8.528434919480988
E_RR,3_TR-197-136-574,1223.601089998614,0.0835522236627021,35.0,tension,TR,"$E_{t,RR}$",False,8.528434919480988
