sample,component,times,KV_model,strain_corrected,strain_experiment
1_cLx-238-144-023,exx,2024-03-24 17:36:02.500,1.583643410927837,1.5137545432957409,1.5137545432957409
1_cLx-238-144-023,exx,2024-03-24 20:36:02.500,1.584933027507292,1.497591089510796,1.497591089510796
1_cLx-238-144-023,exx,2024-03-24 23:36:19.500,1.5862203014391945,1.4784386632403599,1.4784386632403599
1_cLx-238-144-023,exx,2024-03-25 02:36:02.500,1.5874992164225719,1.498373169931497,1.498373169931497
1_cLx-238-144-023,exx,2024-03-25 05:35:59.500,1.588775519532525,1.4965633660544786,1.4965633660544786
1_cLx-238-144-023,exx,2024-03-25 08:35:59.000,1.5900478830442641,1.5623240941339733,1.5623240941339733
1_cLx-238-144-023,exx,2024-03-25 11:36:04.500,1.5913167552746004,1.6877947065192722,1.6877947065192722
1_cLx-238-144-023,exx,2024-03-25 14:35:59.000,1.5925801831832191,1.5874721978681336,1.5874721978681336
1_cLx-238-144-023,exx,2024-03-25 17:36:15.500,1.5938420627440164,1.5550018442050022,1.5550018442050022
1_cLx-238-144-023,exx,2024-03-25 20:36:33.000,1.5950999702712392,1.572846518217712,1.572846518217712
1_cLx-238-144-023,exx,2024-03-25 23:36:03.000,1.5963483308387345,1.587737120180362,1.587737120180362
1_cLx-238-144-023,exx,2024-03-26 02:36:00.000,1.5975958293402444,1.5774367634886746,1.5774367634886746
1_cLx-238-144-023,exx,2024-03-26 05:36:00.000,1.5988397136923438,1.5784462094681562,1.5784462094681562
1_cLx-238-144-023,exx,2024-03-26 08:35:59.500,1.600079616470338,1.6173903435054744,1.6173903435054744
1_cLx-238-144-023,exx,2024-03-26 11:36:14.500,1.6013174031134965,1.7479669401687625,1.7479669401687625
1_cLx-238-144-023,exx,2024-03-26 14:36:43.000,1.602552865293194,1.6714698484867265,1.6714698484867265
1_cLx-238-144-023,exx,2024-03-26 17:36:00.000,1.6037763714520303,1.708118630540364,1.708118630540364
1_cLx-238-144-023,exx,2024-03-26 20:36:06.500,1.6050017308332194,1.6072115054630294,1.6072115054630294
1_cLx-238-144-023,exx,2024-03-26 23:36:00.000,1.606221871840764,1.6964616292507986,1.6964616292507986
1_cLx-238-144-023,exx,2024-03-27 02:36:00.000,1.6074390362723325,1.6245549933625083,1.6245549933625083
1_cLx-238-144-023,exx,2024-03-27 05:36:03.000,1.6086528583808526,1.6007808951729907,1.6007808951729907
1_cLx-238-144-023,exx,2024-03-27 08:36:11.000,1.609863591973612,1.6135678909792492,1.6135678909792492
1_cLx-238-144-023,eyy,2024-02-26 16:45:31.000,1.0,1.0,1.0
1_cLx-238-144-023,eyy,2024-02-26 16:46:02.000,1.0000810017490054,1.0052150989499957,1.0052150989499957
1_cLx-238-144-023,eyy,2024-02-26 16:46:33.500,1.0001632756123058,1.0211733941820822,1.0211733941820822
1_cLx-238-144-023,eyy,2024-02-26 17:11:07.500,1.0039747089129383,1.0176916393435558,1.0176916393435558
1_cLx-238-144-023,eyy,2024-02-26 17:38:50.500,1.0081857521825695,1.044141064543674,1.044141064543674
1_cLx-238-144-023,eyy,2024-02-26 18:38:50.500,1.016987970638409,1.0595335456924062,1.0595335456924062
