sheet,sample,valid,thickness,width,max_force,max_stress,loading_type,direction,rh,label,mc,mc_mean,mc_std,mc_label,offset_strain,offset_stress
data_2_CT,2_CT-226-174-776,True,14.14,13.94,1279.2186,6.4898189654997465,compression,T,65,"$f_{c,T}$",0.1037068144912927,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CT,2_CT-226-174-807,True,14.06,13.9,1282.8484,6.564100412415444,compression,T,65,"$f_{c,T}$",0.1033149792111474,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CT,2_CT-226-174-839,True,14.09,13.95,1282.4867,6.5248069883569775,compression,T,65,"$f_{c,T}$",0.1030884574497844,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CT,2_CT-226-174-870,True,14.06,13.91,1282.0958,6.555533284997131,compression,T,65,"$f_{c,T}$",0.1022638563622169,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CT,2_CT-226-174-901,True,14.06,13.96,1274.0099,6.490857336751621,compression,T,65,"$f_{c,T}$",0.1017277047805422,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CT,2_CT-226-174-933,True,14.13,13.89,1332.2844,6.78816726509013,compression,T,65,"$f_{c,T}$",0.1037363253856942,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_TL,2_TL-036-090-031,True,6.08,19.96,16230.082,133.73854617128995,tension,L,65,"$f_{t,L}$",0.1205526278307933,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_TL,2_TL-038-114-504,True,6.04,19.91,20531.201,170.72855166128375,tension,L,65,"$f_{t,L}$",0.1204911795226565,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_TL,2_TL-040-148-032,True,6.07,19.85,16875.957,140.06164022591176,tension,L,65,"$f_{t,L}$",0.1215758417216246,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_TL,2_TL-041-170-504,True,6.11,19.94,18665.584,153.2058039913521,tension,L,65,"$f_{t,L}$",0.1258106543138389,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_TL,2_TL-047-146-032,True,6.06,19.87,17969.44,149.2327189437615,tension,L,65,"$f_{t,L}$",0.126446686282752,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_TL,2_TL-047-169-504,True,6.13,19.95,13411.069,109.6629747288286,tension,L,65,"$f_{t,L}$",0.1268525311812178,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_TL,2_TL-048-088-031,True,6.09,19.89,15134.28,124.94235536831886,tension,L,65,"$f_{t,L}$",0.1192938990399503,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_TL,2_TL-048-112-031,True,6.08,20.02,11844.285,97.3063531862874,tension,L,65,"$f_{t,L}$",0.122677207919454,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_TL,2_TL-048-122-031,True,6.07,19.87,18840.459,156.20859308735774,tension,L,65,"$f_{t,L}$",,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_TL,2_TL-061-167-030,True,5.9,19.86,15994.361,136.50093877481353,tension,L,65,"$f_{t,L}$",0.1258248310586989,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_TL,2_TL-061-167-503,True,5.85,19.88,17989.156,154.68155944212282,tension,L,65,"$f_{t,L}$",0.1254635178004934,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_TL,2_TL-067-167-031,True,5.82,19.85,14970.384,129.58342205718142,tension,L,65,"$f_{t,L}$",0.1252628647030151,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_TL,2_TL-067-167-504,True,5.89,19.88,17136.673,146.35071037430015,tension,L,65,"$f_{t,L}$",0.123244192328471,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_TL,2_TL-068-143-031_K,True,5.88,19.87,15133.749,129.53028871337162,tension,L,65,"$f_{t,L}$",0.1204569127143948,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_TL,2_TL-068-143-504_K,True,5.95,19.88,15892.666,134.35796290347125,tension,L,65,"$f_{t,L}$",0.120618275909029,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_TL,2_TL-071-076-031,True,6.04,19.91,11219.785,93.29885976962557,tension,L,65,"$f_{t,L}$",0.1224557607603739,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_TL,2_TL-071-076-505,True,6.13,19.98,13989.981,114.22499987752842,tension,L,65,"$f_{t,L}$",0.1205553674229598,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_TL,2_TL-071-100-031,True,6.23,19.93,15127.071,121.83147436573753,tension,L,65,"$f_{t,L}$",0.1255487762115154,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_TL,2_TL-071-100-504,True,6.1,19.94,13983.863,114.9667280530115,tension,L,65,"$f_{t,L}$",0.1245837204316443,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_TL,2_TL-080-143-031,True,5.8100000000000005,19.83,16989.048,147.45863071911592,tension,L,65,"$f_{t,L}$",0.1222590849471491,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_TL,2_TL-080-143-504,True,5.82,19.87,16893.1,146.07924014686526,tension,L,65,"$f_{t,L}$",0.1232271399044971,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_TL,2_TL-080-167-031,True,5.78,19.84,17968.15,156.68732210626186,tension,L,65,"$f_{t,L}$",0.1241685456595265,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_TL,2_TL-080-167-504,True,5.83,19.83,18102.636,156.5851418013665,tension,L,65,"$f_{t,L}$",0.1237641191139797,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
