sample,exp_mass,dry_mass,moisture_content
2_TL-040-148-032,16.1563,14.405,0.1215758417216246
2_TL-041-170-030,15.3637,13.65,0.1255457875457875
2_TL-041-170-504,15.5542,13.816,0.1258106543138389
2_TL-047-146-032,16.0789,14.274,0.126446686282752
2_TL-047-169-032,16.2034,14.355,0.1287634970393589
2_TL-047-169-504,16.8949,14.993,0.1268525311812178
2_TL-048-088-031,14.4568,12.916,0.1192938990399503
2_TL-048-112-031,16.6145,14.799,0.122677207919454
2_TL-061-167-030,16.9932,15.094,0.1258248310586989
2_TL-061-167-503,15.9647,14.185,0.1254635178004934
2_TL-067-167-031,16.1599,14.361,0.1252628647030151
2_TL-067-167-504,16.633,14.808,0.123244192328471
2_TL-068-143-031,16.1357,14.401,0.1204569127143948
2_TL-068-143-504,16.4574,14.686,0.120618275909029
2_TL-071-076-031,14.5257,12.941,0.1224557607603739
2_TL-071-076-505,13.236,11.812,0.1205553674229598
2_TL-071-100-031,16.0492,14.259,0.1255487762115154
2_TL-071-100-504,15.7363,13.993,0.1245837204316443
2_TL-080-143-031,14.5456,12.961,0.1222590849471491
2_TL-080-143-504,15.76,14.031,0.1232271399044971
2_TL-080-167-031,15.9542,14.192,0.1241685456595265
2_TL-080-167-504,15.3214,13.634,0.1237641191139797
2_TL-085-079-031,13.6719,12.184,0.1221191726854893
2_TL-085-079-504,13.8525,12.34,0.1225688816855753
2_TL-086-168-031,17.0063,15.139,0.1233436818812339
2_TL-086-168-504,16.533,14.681,0.1261494448607044
2_TL-219-137-504,17.1937,15.301,0.1236977975295732
2_TL-226-136-030,16.5591,14.743,0.1231838838770942
2_TR-195-150-013,19.9612,18.014,0.1080937048961919
2_TR-195-150-044,20.3571,18.381,0.1075077525705891
2_TR-195-150-075,20.0745,18.129,0.1073142478901207
2_TR-195-150-107,19.9391,17.997,0.1079124298494193
2_TR-195-150-138,19.8593,17.923,0.1080343692462201
2_TR-195-150-169,19.7528,17.821,0.1084002020088658
2_TR-195-150-201,19.77,17.836,0.1084323839425881
2_TR-195-150-232,19.708,17.779,0.1084987907081387
2_TR-195-150-263,19.5663,17.649,0.1086350501444839
2_TR-195-150-295,19.588,17.669,0.1086082970173751
2_TR-195-150-326,19.5172,17.625,0.1073588652482269
