,,cam1,cam1,cam2,cam2
data_2_sTL,2_sTL-142-186-581,T,L,T,L
data_2_sTL,2_sTL-142-186-635,T,L,T,L
data_2_sTL,2_sTL-142-186-688,T,L,T,L
data_2_sTL,2_sTL-142-186-741,T,L,T,L
data_2_sTL,2_sTL-142-186-795,T,L,T,L
data_2_sTL,2_sTL-142-186-848,T,L,T,L
data_2_sTL,2_sTL-142-186-901,T,L,T,L
data_2_sTL,2_sTL-142-186-954,T,L,T,L
data_2_sTL,2_sTL-142-198-049,T,L,T,L
data_2_sTL,2_sTL-142-198-103,T,L,T,L
data_2_sTL,2_sTL-142-198-156,T,L,T,L
data_2_sTL,2_sTL-142-198-209,T,L,T,L
data_2_sTL,2_sTL-142-198-263,T,L,T,L
data_2_sTL,2_sTL-142-198-316,T,L,T,L
data_2_sTL,2_sTL-142-198-369,T,L,T,L
data_2_sTL,2_sTL-142-198-422,T,L,T,L
data_2_sTL,2_sTL-142-198-476,T,L,T,L
data_2_sTL,2_sTL-142-198-529,T,L,T,L
data_2_sTL,2_sTL-142-198-582,T,L,T,L
data_2_sTL,2_sTL-142-198-636,T,L,T,L
data_2_sTL,2_sTL-142-198-689_K,T,L,T,L
data_2_sTL,2_sTL-142-198-742_K,T,L,T,L
data_2_sTL,2_sTL-142-198-796_K,T,L,T,L
data_2_sTL,2_sTL-142-198-849,T,L,T,L
data_2_sTL,2_sTL-142-198-902,T,L,T,L
data_2_sTL,2_sTL-142-198-955,T,L,T,L
data_2_sTR,2_sTR-267-122-032,R,T,R,T
data_2_sTR,2_sTR-267-122-043,R,T,R,T
data_2_sTR,2_sTR-267-122-054,R,T,R,T
data_2_sTR,2_sTR-267-122-066,R,T,R,T
data_2_sTR,2_sTR-267-122-100,R,T,R,T
data_2_sTR,2_sTR-267-122-111,R,T,R,T
data_2_sTR,2_sTR-267-122-122,R,T,R,T
data_2_sTR,2_sTR-267-122-134,R,T,R,T
data_2_sTR,2_sTR-267-122-145,R,T,R,T
data_2_sTR,2_sTR-267-122-156,R,T,R,T
data_2_sTR,2_sTR-267-122-167,R,T,R,T
data_2_sTR,2_sTR-267-122-179,R,T,R,T
data_2_sTR,2_sTR-267-122-190,R,T,R,T
data_2_sTR,2_sTR-267-122-201,R,T,R,T
data_2_sTR,2_sTR-267-122-213,R,T,R,T
